URL,Score,Keywords Found,type_page,description,headline,datePublished,dateModified,author,byline,excerpt,lang
https://www.bbc.co.uk/news/business-65311346,1.6279850746268656,gender-,webpage,The BBC speaks to experts about sexual harassment and what to do if you experience it in the workplace.,What counts as sexual harassment at work? - BBC News,,,,BBC News,The BBC speaks to experts about sexual harassment and what to do if you experience it in the workplace.,en-GB
https://www.bbc.co.uk/programmes/m001slfd,1.5238095238095237,transgender,webpage,The chair of the Equality and Human Rights Commission sits down with Nick Robinson.,"BBC Radio 4 - Political Thinking with Nick Robinson, The Kishwer Falkner One",,,,,The chair of the Equality and Human Rights Commission sits down with Nick Robinson.,en-GB
https://www.bbc.co.uk/programmes/p0bfy23k,4.354726799653079,"trans rights, gender-",webpage,Streeting: Don’t shut down JK Rowling in trans debate,"BBC Radio 4 - Political Thinking with Nick Robinson, Streeting: Don’t shut down Rowling in trans debate",,,,,Streeting: Don’t shut down JK Rowling in trans debate,en-GB
https://www.bbc.co.uk/programmes/p0dc9xd4,1,gender-,webpage,"Rayner is relaxed about people becoming ""filthy rich... as long as they pay their taxes"".","BBC Radio 4 - Political Thinking with Nick Robinson, The Angela Rayner Deputy Leader One, Angela Rayner: I won't attack Sunak for being rich",,,,,"Rayner is relaxed about people becoming ""filthy rich... as long as they pay their taxes"".",en-GB
https://www.bbc.co.uk/programmes/p04z203l/clips,1,gender-,webpage,Clips from Political Thinking with Nick Robinson,BBC Radio 4 - Political Thinking with Nick Robinson - Clips,,,,,Clips from Political Thinking with Nick Robinson,en-GB
http://www.bbc.co.uk/programmes/articles/92415845-047b-4400-99b6-1369f60697c0,1.6219401631912964,gender-,webpage,,Analysis - Five problems with trying to spot an authentic politician,2017-11-16,2018-02-12T11:32:01+00:00,BBC,BBC,How can we tell if a politician can be trusted to stick to their promises?,en-GB
https://www.bbc.co.uk/sport/athletics/66615089,3,gender-,webpage,"Bobbi Gibb was denied by a letter and obscured by an image, but has beaten both to be recognised for what she is.",Bobbi Gibb: The Boston Marathon pioneer who raced a lie,2023-08-28T22:27:32.000Z,2023-08-28T23:02:52.000Z,Olivier Guiberteau,Olivier Guiberteau,"Bobbi Gibb was denied by a letter and obscured by an image, but has beaten both to be recognised for what she is.",en-GB
https://www.bbc.co.uk/news/uk-scotland-scotland-business-65900502,1,gender-,webpage,The government is looking to work with industry to turn the economy towards wellbeing more than profit .,Business 'ready to work towards wellbeing economy' - BBC News,,,,Douglas Fraser,The government is looking to work with industry to turn the economy towards wellbeing more than profit .,en-GB
http://www.bbc.co.uk/news/uk-politics-27801992,1,gender-,webpage,Lib Dems take the top two slots in the draw to bring in private bills - Tory Bob Neill came third and is set to bring back the EU Referendum Bill.,Lib Dem Andrew George tops private members' bill ballot - BBC News,,,,BBC News,Lib Dems take the top two slots in the draw to bring in private bills - Tory Bob Neill came third and is set to bring back the EU Referendum Bill.,en-GB
https://www.bbc.co.uk/news/business-67217915,3.4703096539162113,gender-,webpage,The use of artificial intelligence appears to have a significant gender imbalance.,Why are fewer women using AI than men? - BBC News,,,,MaryLou Costa,The use of artificial intelligence appears to have a significant gender imbalance.,en-GB
https://www.bbc.co.uk/sounds/play/w3ct4p44,1,gender-,webpage,"Catch up on your favourite BBC radio show from your favourite DJ right here, whenever you like. Listen without limits with BBC Sounds.",HARDtalk - Gideon Levy: What happened to the Israeli mindset? - BBC Sounds,,,,,Stephen Sackur interviews Israeli journalist and commentator Gideon Levy.,en-GB
