Score,URL,
1.000000,https://www.bbc.co.uk/usingthebbc/account/help-signing-in?action=sign-in&amp;clientId=Account&amp;isCasso=false&amp;lang=ar-SA&amp;nonce=igeJCkAe-pNJK46SOBPGpH5rknkwUKM-9Oho&amp;ptrt=https%3A%2F%2Faccount.bbc.com%2Faccount%3Flang%3Den-GB%26amp%3Bptrt%3Dhttps%3A%2F%2Fwww.bbc.co.uk%2Fnews&amp;realm=%2F&amp;redirectUri=https%3A%2F%2Fsession.bbc.com%2Fsession%2Fcallback%3Frealm%3D%2F&amp;sequenceId=f2b5451c-d926-4264-bce9-97d076e7230e&amp;service=IdSignInService,
1.000000,https://account.bbc.com/account?lang=en-GB&amp;amp;ptrt=https://www.bbc.co.uk/news,
1.000000,https://www.bbc.co.uk/accessibility,
1.000000,https://www.bbc.co.uk/usingthebbc/terms,
1.000000,https://www.bbc.co.uk/iplayer/guidance,
1.000000,https://www.bbc.co.uk/usingthebbc/cookies,
1.000000,https://www.bbc.co.uk/usingthebbc/privacy,
1.000000,https://www.bbc.co.uk/contact,
2.000000,https://www.bbc.com/live,
1.000000,https://www.bbc.co.uk/bbcnewsletter,
1.000000,https://static.files.bbci.co.uk/account/id-cta/730/style/id-cta.css,
1.000000,https://www.bbc.co.uk/sounds,
1.000000,https://static.files.bbci.co.uk/account/id-cta/730/style/id-cta.css,
1.000000,https://static.files.bbci.co.uk/search/searchbox/2fb8962a42a09d075319658f3a37a5a2/css/box.css,
1.000000,https://static.files.bbci.co.uk/orbit/bde9d3f679d1dd3f8768859cc949031d/css/orbit-ltr.min.css,
1.000000,https://static.files.bbci.co.uk/sounds/web/sounds-web-spa/_next/static/css/98271890aa45f9b0.css,
1.000000,https://static.files.bbci.co.uk/sounds/web/sounds-web-spa/_next/static/css/98271890aa45f9b0.css,
1.000000,https://www.bbc.co.uk/accessibility/,
1.000000,https://static.files.bbci.co.uk/account/id-account/3555/js/react-bundle.min.js,
1.000000,https://account.bbc.com/account,
1.000000,https://www.bbc.co.uk/weather,
1.000000,https://www.bbc.co.uk/notifications,
1.000000,https://www.bbc.co.uk/bitesize,
2.000000,https://www.bbc.co.uk,
1.000000,https://www.bbc.co.uk/sport,
1.000000,https://www.bbc.co.uk/iplayer,
1.000000,https://www.bbc.co.uk/sounds,
